         374042 function calls (371003 primitive calls) in 1.890 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5566    0.020    0.000    0.075    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     2663    0.009    0.000    0.073    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     5522    0.010    0.000    0.072    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2303(search)
     2661    0.006    0.000    0.064    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
        1    0.000    0.000    0.061    0.061 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.061    0.061 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/util/ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.061    0.061 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/util/ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.061    0.061 /usr/lib/python3.12/ssl.py:449(wrap_socket)
        1    0.000    0.000    0.061    0.061 /usr/lib/python3.12/ssl.py:956(_create)
        1    0.000    0.000    0.060    0.060 /usr/lib/python3.12/ssl.py:1313(do_handshake)
        1    0.060    0.060    0.060    0.060 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     2663    0.017    0.000    0.058    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2757    0.009    0.000    0.055    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
        1    0.000    0.000    0.051    0.051 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connection.py:192(_new_conn)
        1    0.000    0.000    0.051    0.051 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
    21769    0.050    0.000    0.050    0.000 {method 'match' of 're.Pattern' objects}
        1    0.049    0.049    0.049    0.049 {method 'connect' of '_socket.socket' objects}
4552/1596    0.019    0.000    0.040    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
     2549    0.019    0.000    0.031    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
59946/59942    0.023    0.000    0.029    0.000 {built-in method builtins.isinstance}
     2701    0.010    0.000    0.026    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:620(object_was_parsed)
     2662    0.006    0.000    0.024    0.000 /usr/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     2701    0.008    0.000    0.022    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:943(__new__)
     2661    0.011    0.000    0.022    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
    10623    0.011    0.000    0.020    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
     8065    0.020    0.000    0.020    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:156(setup)
     5743    0.003    0.000    0.017    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
       42    0.000    0.000    0.016    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/response.py:469(_decode)
       43    0.002    0.000    0.015    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/response.py:122(decompress)
      415    0.004    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
       42    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    13046    0.013    0.000    0.013    0.000 {method 'group' of 're.Match' objects}
     7958    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
     2663    0.010    0.000    0.012    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
     1946    0.007    0.000    0.010    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     7906    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
       32    0.000    0.000    0.009    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1987(find)
     2662    0.007    0.000    0.008    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
    14084    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    14112    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
    17143    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     2604    0.003    0.000    0.007    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
    13044    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    13882    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
     1428    0.005    0.000    0.006    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
        1    0.006    0.006    0.006    0.006 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/models.py:909(text)
     5529    0.003    0.000    0.006    0.000 {built-in method builtins.next}
     4682    0.003    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
     8217    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     2725    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa43b40}
     2174    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
      120    0.001    0.000    0.005    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
     2701    0.003    0.000    0.005    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
      120    0.000    0.000    0.004    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
3893/3891    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
