         380999 function calls (377998 primitive calls) in 2.968 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2689    0.007    0.000    0.020    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:943(__new__)
     2689    0.003    0.000    0.004    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
     2598    0.003    0.000    0.006    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     2587    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2586    0.022    0.000    0.032    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     2558    0.015    0.000    0.091    0.000 /usr/lib/python3.12/html/parser.py:379(parse_endtag)
     2558    0.001    0.000    0.001    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
     2169    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
     1948    0.006    0.000    0.009    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     1902    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1842    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1083(_checkClosed)
     1821    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     1425    0.004    0.000    0.005    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      922    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      921    0.001    0.000    0.001    0.000 /usr/lib/python3.12/socket.py:732(readable)
      920    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      920    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      920    0.002    0.000    2.111    0.002 /usr/lib/python3.12/ssl.py:1095(read)
      920    2.109    0.002    2.109    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      920    0.005    0.000    2.117    0.002 /usr/lib/python3.12/ssl.py:1237(recv_into)
      920    0.004    0.000    2.125    0.002 /usr/lib/python3.12/socket.py:693(readinto)
      879    0.001    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1543(get)
      833    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      417    0.004    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
      118    0.001    0.000    0.004    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
      118    0.000    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       99    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       93    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
       81    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1417(_all_strings)
       71    0.000    0.000    0.000    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:387(_last_descendant)
